r,dmax,b,h,d,ad,ro,row,fy,fyw,fc,V,MF,M,Author                                       ,,r=replacement ratio 
100,25,400,600,525,5.1,2.34,0.39,380,483,26.9,302.82,0,810.8,Han et al. (2001),,dmax=maximum aggregate size
0,25,400,600,525,5.1,2.34,0.39,380,483,26.9,325.51,0,871.55,Han et al. (2001),,ad=a/d 
30,19,400,600,525,5.1,1.93,0,375,0,32.6,235.2,1,629.75,Etxeberria (2004),,ro=reinforcement ratio
30,19,400,600,525,5.1,1.93,0,375,0,32.6,239.4,1,640.99,Etxeberria (2004),,row=shear reinforcement ratio
60,19,400,600,525,5.1,1.93,0,375,0,31.4,205.8,1,551.03,Etxeberria (2004),,MF=mode of failure 
60,19,400,600,525,5.1,1.93,0,375,0,31.4,205.8,1,551.03,Etxeberria (2004),,V=shear force at failure 
100,19,400,600,525,5.1,1.93,0,375,0,28.3,205.8,1,551.03,Etxeberria (2004),,M=moment at failure 
100,19,400,600,525,5.1,1.93,0,375,0,28.3,218.4,1,584.77,Etxeberria (2004),,fy=yield strength of reinfocement 
100,19,150,200,160,4.4,1.06,0,331,0,46.5,21,0,14.78,Etxeberria (2004),,fyw=yield strength of shear reinforcement 
100,19,150,200,160,4.4,1.06,0,331,0,32.9,21.7,0,15.28,Etxeberria (2004),,
100,19,150,200,160,4.4,1.06,0,331,0,46.6,21.4,0,15.07,Etxeberria (2004),,
100,19,150,200,160,4.4,0.59,0,331,0,30.4,12.1,0,8.52,Etxeberria (2004),,
100,19,150,200,160,4.4,0.59,0,331,0,28.4,12.6,0,8.87,Etxeberria (2004),,
100,19,150,200,160,4.4,0.59,0,331,0,34.5,13.2,0,9.29,Etxeberria (2004),,
100,19,150,200,160,4.4,0.59,0,331,0,31.8,13.5,0,9.5,Sato et al. (2004),,
100,19,150,200,160,4.4,1.06,0,331,0,30.4,19.7,0,13.87,Sato et al. (2004),,
100,19,150,200,160,4.4,1.06,0,331,0,28.4,20,0,14.08,Sato et al. (2004),,
100,19,150,200,160,4.4,1.06,0,331,0,34.5,20,0,14.08,Sato et al. (2004),,
100,19,150,200,160,4.4,1.06,0,331,0,31.8,21.4,0,15.07,Sato et al. (2004),,
100,19,150,200,160,4.4,1.65,0,342,0,30.4,27.3,0,19.22,Sato et al. (2004),,
100,19,150,200,160,4.4,1.65,0,342,0,28.4,27.7,0,19.5,Sato et al. (2004),,
100,19,150,200,160,4.4,1.65,0,342,0,34.5,28.3,0,19.92,Sato et al. (2004),,
100,19,150,200,160,4.4,1.65,0,342,0,31.8,31.1,0,21.89,Sato et al. (2004),,
0,19,150,200,160,4.4,1.06,0,331,0,57,21.3,0,15,Sato et al. (2004),,
0,19,150,200,160,4.4,1.06,0,331,0,40.2,22.4,0,15.77,Sato et al. (2004),,
0,19,150,200,160,4.4,1.06,0,331,0,55.3,21.7,0,15.28,Sato et al. (2004),,
0,19,150,200,160,4.4,0.59,0,331,0,30.6,11.4,0,8.03,Sato et al. (2004),,
0,19,150,200,160,4.4,0.59,0,331,0,32.5,12.9,0,9.08,Sato et al. (2004),,
0,19,150,200,160,4.4,1.06,0,331,0,30.6,19.5,0,13.73,Sato et al. (2004),,
0,19,150,200,160,4.4,1.06,0,331,0,32.5,19.9,0,14.01,Sato et al. (2004),,
0,19,150,200,160,4.4,1.65,0,342,0,30.6,27.6,0,19.43,Sato et al. (2004),,
0,19,150,200,160,4.4,1.65,0,342,0,32.5,27.7,0,19.5,Sato et al. (2004),,
100,31.5,200,300,235,4.2,4.09,0,555,0,34.48,104.8,1,103.44,Sato et al. (2004),,
0,31.5,200,300,235,4.2,4.09,0,555,0,30.8,106.3,1,104.92,Sato et al. (2004),,
50,31.5,200,300,235,4.2,4.09,0.19,555,300,33.44,156.9,1,154.86,Sato et al. (2004),,
0,31.5,200,300,235,4.2,4.09,0.19,555,300,30.8,159.9,1,157.82,Sato et al. (2004),,
100,31.5,200,300,235,4.2,4.09,0.19,555,300,34.48,163.4,1,161.28,Sato et al. (2004),,
50,31.5,200,300,235,4.2,4.09,0,555,0,33.44,91.8,1,90.61,Sato et al. (2004),,
0,31.5,200,300,244,4.2,2.54,1.31,550,555,34.96,137.6,0,141.01,Martinez-Abella (2007),,
