r,dmax,b,h,d,ad,ro,row,fy,fyw,fc,V,MF,M
100.00,25.00,400.00,600.00,525.00,5.10,2.34,0.39,380.00,483.00,26.90,302.82,0,810.80
0.00,25.00,400.00,600.00,525.00,5.10,2.34,0.39,380.00,483.00,26.90,325.51,0,871.55
30.00,19.00,400.00,600.00,525.00,5.10,1.93,0.00,375.00,0.00,32.60,235.20,1,629.75
30.00,19.00,400.00,600.00,525.00,5.10,1.93,0.00,375.00,0.00,32.60,239.40,1,640.99
60.00,19.00,400.00,600.00,525.00,5.10,1.93,0.00,375.00,0.00,31.40,205.80,1,551.03
60.00,19.00,400.00,600.00,525.00,5.10,1.93,0.00,375.00,0.00,31.40,205.80,1,551.03
100.00,19.00,400.00,600.00,525.00,5.10,1.93,0.00,375.00,0.00,28.30,205.80,1,551.03
100.00,19.00,400.00,600.00,525.00,5.10,1.93,0.00,375.00,0.00,28.30,218.40,1,584.77
100.00,19.00,150.00,200.00,160.00,4.40,1.06,0.00,331.00,0.00,46.50,21.00,0,14.78
100.00,19.00,150.00,200.00,160.00,4.40,1.06,0.00,331.00,0.00,32.90,21.70,0,15.28
100.00,19.00,150.00,200.00,160.00,4.40,1.06,0.00,331.00,0.00,46.60,21.40,0,15.07
100.00,19.00,150.00,200.00,160.00,4.40,0.59,0.00,331.00,0.00,30.40,12.10,0,8.52
100.00,19.00,150.00,200.00,160.00,4.40,0.59,0.00,331.00,0.00,28.40,12.60,0,8.87
100.00,19.00,150.00,200.00,160.00,4.40,0.59,0.00,331.00,0.00,34.50,13.20,0,9.29
100.00,19.00,150.00,200.00,160.00,4.40,0.59,0.00,331.00,0.00,31.80,13.50,0,9.50
100.00,19.00,150.00,200.00,160.00,4.40,1.06,0.00,331.00,0.00,30.40,19.70,0,13.87
100.00,19.00,150.00,200.00,160.00,4.40,1.06,0.00,331.00,0.00,28.40,20.00,0,14.08
100.00,19.00,150.00,200.00,160.00,4.40,1.06,0.00,331.00,0.00,34.50,20.00,0,14.08
100.00,19.00,150.00,200.00,160.00,4.40,1.06,0.00,331.00,0.00,31.80,21.40,0,15.07
100.00,19.00,150.00,200.00,160.00,4.40,1.65,0.00,342.00,0.00,30.40,27.30,0,19.22
100.00,19.00,150.00,200.00,160.00,4.40,1.65,0.00,342.00,0.00,28.40,27.70,0,19.50
100.00,19.00,150.00,200.00,160.00,4.40,1.65,0.00,342.00,0.00,34.50,28.30,0,19.92
100.00,19.00,150.00,200.00,160.00,4.40,1.65,0.00,342.00,0.00,31.80,31.10,0,21.89
0.00,19.00,150.00,200.00,160.00,4.40,1.06,0.00,331.00,0.00,57.00,21.30,0,15.00
0.00,19.00,150.00,200.00,160.00,4.40,1.06,0.00,331.00,0.00,40.20,22.40,0,15.77
